Rank,ID,Movie Title,Studio,Total Gross,Theaters,Opening,Opening Theaters,Open,Close
574,380,Narcissister Organ Player,FM,"$10,193 ",3,"$1,983 ",1,7-Nov,
630,381,Nelly,CLS,"$3,751 ",2,"$1,304 ",1,7-Sep,20-Sep
422,382,Never Goin' Back,A24,"$61,271 ",27,"$10,322 ",2,3-Aug,27-Aug
405,383,"Nico, 1988",Magn.,"$73,304 ",12,"$12,309 ",2,1-Aug,7-Oct
263,384,"Night Is Short, Walk On Girl",GK,"$406,490 ",415,"$18,302 ",10,21-Aug,4-Oct
31,385,Night School (2018),Universal,"$76,735,280 ","3,019","$27,257,615 ","3,010",28-Sep,
474,386,"No Date, No Signature",Distrib.,"$33,877 ",3,"$4,993 ",3,1-Aug,
78,387,Nobody's Fool,Paramount,"$29,947,263 ","2,468","$13,743,111 ","2,468",2-Nov,
350,388,Nostalgia,BST,"$114,603 ",140,"$15,955 ",3,16-Feb,8-Mar
611,389,Notes on Appearance,Ghop,"$5,065 ",2,"$2,239 ",1,17-Aug,
207,390,Nothing to Lose (2018),Swen,"$1,016,188 ",69,"$679,531 ",69,11-May,14-Jun
525,391,November (2018),Osci.,"$19,084 ",8,"$3,354 ",1,23-Feb,5-Apr
18,392,Ocean's 8,Warner Brothers,"$139,377,762 ","4,145","$41,607,378 ","4,145",8-Jun,20-Sep
271,393,Oh Lucy!,FM,"$375,391 ",41,"$14,569 ",3,2-Mar,5-Jul
226,394,On Chesil Beach,BST,"$745,971 ",203,"$35,765 ",4,18-May,12-Jul
489,395,On Her Shoulders,Osci.,"$26,759 ",7,"$4,374 ",1,19-Oct,
521,396,"One Sings, the Other Doesn't",Jan.,"$19,919 ",2,"$6,700 ",1,1-Jun,21-Jun
460,397,Oolong Courtyard,CL,"$37,727 ",10,"$19,065 ",10,24-Aug,6-Sep
94,398,Operation Finale,MGM,"$17,612,099 ","1,818","$6,022,758 ","1,818",29-Aug,15-Nov
185,399,Operation Red Sea,WGUSA,"$1,543,547 ",55,"$436,059 ",45,23-Feb,19-Apr
549,400,Our Blood is Wine,MBox,"$13,210 ",5,"$1,540 ",2,9-Mar,17-May
